Date,gross_return,cost_return,net_return,nav,turnover_fraction,traded_notional_usd,impact_cost_return,fixed_cost_return,participation_fill_fraction,order_deferred,rebalance_session,risk_weight_sum,cash_weight,sleeves_held,book_live
2018-03-19,-0.004266875131531723,0.0,-0.004266875131531723,1.61089655395879,0.0,0.0,0.0,0.0,1.0,False,False,0.7214011820296639,0.27859881797033614,11,True
2018-03-20,-0.0002923008307795348,0.0,-0.0002923008307795348,1.610425687557768,0.0,0.0,0.0,0.0,1.0,False,False,0.7214199699478128,0.2785800300521872,11,True
2018-03-21,0.003214811073774386,0.0,0.003214811073774386,1.6156029018916196,0.0,0.0,0.0,0.0,1.0,False,False,0.7221128685067353,0.27788713149326466,11,True
2018-03-22,-0.006420995826541355,0.0,-0.006420995826541355,1.6052291224012254,0.0,0.0,0.0,0.0,1.0,False,False,0.7201829307341381,0.279817069265862,11,True
2018-03-23,-0.004237678190046376,0.0,-0.004237678190046376,1.5984266779591985,0.0,0.0,0.0,0.0,1.0,False,False,0.7189248141086619,0.281075185891338,11,True
2018-03-26,0.007493998780916024,0.0,0.007493998780916024,1.6104052855352082,0.0,0.0,0.0,0.0,1.0,False,False,0.7211491502678183,0.27885084973218166,11,True
2018-03-27,-0.0030339185783884353,0.0,-0.0030339185783884353,1.6055194470206882,0.0,0.0,0.0,0.0,1.0,False,False,0.7200994963213933,0.27990050367860675,11,True
2018-03-28,-0.00029959612502440696,0.0,-0.00029959612502440696,1.6050384396157094,0.0,0.0,0.0,0.0,1.0,False,False,0.7199820864617961,0.2800179135382039,11,True
2018-03-29,0.0054570759131474765,0.0,0.0054570759131474765,1.6137972562242118,0.0,0.0,0.0,0.0,1.0,False,False,0.7214018349303168,0.2785981650696832,11,True
2018-04-02,-0.005345589018280461,2.738137772688072e-05,-0.005372970396007342,1.6051263713413613,0.07325274181795657,11821507.375671891,9.068192272391576e-06,1.8313185454489143e-05,1.0,False,True,0.7509187547123022,0.24908124528769782,11,True
2018-04-03,0.001497682700120266,0.0,0.001497682700120266,1.6075303413392261,0.0,0.0,0.0,0.0,1.0,False,False,0.7514103937965995,0.2485896062034005,11,True
2018-04-04,0.0017332136188249756,0.0,0.0017332136188249756,1.6103165348195099,0.0,0.0,0.0,0.0,1.0,False,False,0.7519891776172443,0.24801082238275576,11,True
2018-04-05,0.0011793892308879423,0.0,0.0011793892308879423,1.612215724798997,0.0,0.0,0.0,0.0,1.0,False,False,0.7522219525378895,0.2477780474621105,11,True
2018-04-06,-0.003172838496479703,0.0,-0.003172838496479703,1.6071004246827247,0.0,0.0,0.0,0.0,1.0,False,False,0.7512247092481728,0.2487752907518273,11,True
2018-04-09,0.002413267401579982,0.0,0.002413267401579982,1.610978787748677,0.0,0.0,0.0,0.0,1.0,False,False,0.7518533209554724,0.2481466790445276,11,True
2018-04-10,0.0051688201736211385,0.0,0.0051688201736211385,1.6193056474060679,0.0,0.0,0.0,0.0,1.0,False,False,0.7532476530039349,0.2467523469960651,11,True
2018-04-11,0.001125246947698477,0.0,0.001125246947698477,1.6211277661432026,0.0,0.0,0.0,0.0,1.0,False,False,0.7535249982473411,0.24647500175265893,11,True
2018-04-12,-0.0016218677699639738,0.0,-0.0016218677699639738,1.6184985112683012,0.0,0.0,0.0,0.0,1.0,False,False,0.7532725340681249,0.2467274659318751,11,True
2018-04-13,-0.0001101298919708618,0.0,-0.0001101298919708618,1.6183202662021001,0.0,0.0,0.0,0.0,1.0,False,False,0.7533045298090699,0.2466954701909301,11,True
2018-04-16,0.001400929272720754,0.0,0.001400929272720754,1.6205874184356601,0.0,0.0,0.0,0.0,1.0,False,False,0.7536792013489948,0.24632079865100517,11,True
2018-04-17,0.0027817516770001997,0.0,0.0027817516770001997,1.6250954902046189,0.0,0.0,0.0,0.0,1.0,False,False,0.7543625038658003,0.24563749613419975,11,True
2018-04-18,0.0004847867123648845,0.0,0.0004847867123648845,1.6258833149045944,0.0,0.0,0.0,0.0,1.0,False,False,0.7546877190049299,0.2453122809950701,11,True
