Episode,Symbol,Contribution
1996-10-09 to 1996-11-04,ZT,-0.001443627231368067
1996-10-09 to 1996-11-04,ZB,-0.001380664891902369
1996-10-09 to 1996-11-04,SB,-0.0013459909838692999
1996-10-09 to 1996-11-04,ZF,-0.0013169626324125699
1996-10-09 to 1996-11-04,SNK,-0.0013021374846719058
1996-10-09 to 1996-11-04,NKD,-0.0012626339323237089
1996-10-09 to 1996-11-04,HE,-0.001076334314672106
1996-10-09 to 1996-11-04,6A,-0.0005989181890944114
1996-10-09 to 1996-11-04,HG,-0.0003120886415861173
1996-10-09 to 1996-11-04,GF,-0.00020279118398491315
1996-10-09 to 1996-11-04,ES,0.0
1996-10-09 to 1996-11-04,6E,0.0
1996-10-09 to 1996-11-04,6N,0.0
1996-10-09 to 1996-11-04,CGB,0.0
1996-10-09 to 1996-11-04,YM,0.0
1996-10-09 to 1996-11-04,SXF,0.0
1996-10-09 to 1996-11-04,SJB,0.0
1996-10-09 to 1996-11-04,EMD,0.0
1996-10-09 to 1996-11-04,RTY,0.0
1996-10-09 to 1996-11-04,FSMI,0.0
1996-10-09 to 1996-11-04,RB,0.0
1996-10-09 to 1996-11-04,PA,0.0
1996-10-09 to 1996-11-04,HTW,0.0
1996-10-09 to 1996-11-04,FCE,0.0
1996-10-09 to 1996-11-04,FDAX,0.0
1996-10-09 to 1996-11-04,FESX,0.0
1996-10-09 to 1996-11-04,FGBX,0.0
1996-10-09 to 1996-11-04,FGBL,0.0
1996-10-09 to 1996-11-04,NQ,0.0
1996-10-09 to 1996-11-04,FGBS,0.0
1996-10-09 to 1996-11-04,FGBM,0.0
1996-10-09 to 1996-11-04,YAP,5.143068713389106e-05
1996-10-09 to 1996-11-04,LE,0.00017896704910414383
1996-10-09 to 1996-11-04,NG,0.0006268118102571368
1996-10-09 to 1996-11-04,SI,0.0008009867574285944
1996-10-09 to 1996-11-04,PL,0.001043651251428076
1996-10-09 to 1996-11-04,6S,0.0013844957290713872
1996-10-09 to 1996-11-04,CC,0.00141170743799149
1996-10-09 to 1996-11-04,GC,0.0014942885686940893
1996-10-09 to 1996-11-04,KC,0.0016561780699385137
1996-10-09 to 1996-11-04,CT,0.002096940002836584
1996-10-09 to 1996-11-04,ZL,0.002353088661967975
1996-10-09 to 1996-11-04,6J,0.0023611596864930957
2001-11-02 to 2002-03-11,ZB,-0.0066883675455360805
2001-11-02 to 2002-03-11,GF,-0.005851034350518871
2001-11-02 to 2002-03-11,ZN,-0.005831804746604743
2001-11-02 to 2002-03-11,ZF,-0.0055921290329536905
2001-11-02 to 2002-03-11,FGBM,-0.005175274309988136
2001-11-02 to 2002-03-11,FGBS,-0.004754959973355279
2001-11-02 to 2002-03-11,SNK,-0.004461271879998555
2001-11-02 to 2002-03-11,NG,-0.004278511120756164
2001-11-02 to 2002-03-11,BRN,-0.004155108785472148
2001-11-02 to 2002-03-11,CGB,-0.004118742440309943
2001-11-02 to 2002-03-11,ZT,-0.003962587047476952
2001-11-02 to 2002-03-11,SXF,-0.0038292280632272265
2001-11-02 to 2002-03-11,CT,-0.0033511062367354762
2001-11-02 to 2002-03-11,LLG,-0.0027723144215530573
2001-11-02 to 2002-03-11,FDAX,-0.0025039427157882415
2001-11-02 to 2002-03-11,SJB,-0.002313778989616379
2001-11-02 to 2002-03-11,CL,-0.0020078216531876423
2001-11-02 to 2002-03-11,GAS,-0.0016028212768767372
2001-11-02 to 2002-03-11,NQ,-0.0015706094938276814
2001-11-02 to 2002-03-11,HO,-0.001556001233969947
2001-11-02 to 2002-03-11,HTW,-0.0013584694424217689
2001-11-02 to 2002-03-11,6B,-0.0012310800520042937
2001-11-02 to 2002-03-11,HG,-0.0012149286632205875
2001-11-02 to 2002-03-11,FSMI,-0.0011806017727510635
2001-11-02 to 2002-03-11,LE,-0.0010949581059186378
2001-11-02 to 2002-03-11,SB,-0.001085335146731304
2001-11-02 to 2002-03-11,FGBL,-0.0010456282073246339
2001-11-02 to 2002-03-11,KC,-0.0007875014020105699
2001-11-02 to 2002-03-11,SI,-0.0006484374342039646
2001-11-02 to 2002-03-11,YAP,-0.0006394736041911641
2001-11-02 to 2002-03-11,ES,-0.0005545081860966656
2001-11-02 to 2002-03-11,6S,-0.0004955919674140717
2001-11-02 to 2002-03-11,NKD,-0.00039982946109129355
2001-11-02 to 2002-03-11,ZL,-0.00029826949787288266
2001-11-02 to 2002-03-11,LFT,-0.0002800293554630905
2001-11-02 to 2002-03-11,FESX,-0.00026720480903487956
2001-11-02 to 2002-03-11,FCE,-0.00023985023423081004
2001-11-02 to 2002-03-11,6N,0.0
2001-11-02 to 2002-03-11,YM,0.0
2001-11-02 to 2002-03-11,ZS,0.0
2001-11-02 to 2002-03-11,PA,0.0
2001-11-02 to 2002-03-11,PL,0.0
2001-11-02 to 2002-03-11,RB,0.0
2001-11-02 to 2002-03-11,RTY,0.0
2001-11-02 to 2002-03-11,EMD,0.0
2001-11-02 to 2002-03-11,FGBX,0.0
2001-11-02 to 2002-03-11,6E,0.00019651903590981509
2001-11-02 to 2002-03-11,HE,0.00022504606590599031
2001-11-02 to 2002-03-11,RS,0.00028200978513616697
2001-11-02 to 2002-03-11,6C,0.0003327312487627931
2001-11-02 to 2002-03-11,ZM,0.0005033129044453148
2001-11-02 to 2002-03-11,6A,0.0006069011847681477
2001-11-02 to 2002-03-11,6J,0.0010025012221621353
2001-11-02 to 2002-03-11,ZW,0.0010028630234812277
2001-11-02 to 2002-03-11,KE,0.0012549489847770443
2001-11-02 to 2002-03-11,GC,0.00140508089729699
2001-11-02 to 2002-03-11,ZC,0.0018278580617949952
2001-11-02 to 2002-03-11,6M,0.0033814658154855876
2001-11-02 to 2002-03-11,CC,0.010621111074928243
2003-03-11 to 2003-03-21,GAS,-0.007805212099836951
2003-03-11 to 2003-03-21,BRN,-0.005126469982831939
2003-03-11 to 2003-03-21,CL,-0.004437301074599723
2003-03-11 to 2003-03-21,HO,-0.004119661488519272
2003-03-11 to 2003-03-21,ZN,-0.002868607617936901
2003-03-11 to 2003-03-21,ZF,-0.002824829580155089
