Episode ID,Symbol,Asset class,Direction,Entry date,Exit date,Status,Entry contracts,Maximum absolute contracts,Entry NAV USD,Holding sessions,Holding calendar days,Gross P&L USD,Regular cost USD,Roll cost USD,Net P&L USD,Gross contribution,Cost contribution,Net contribution,MFE contribution,MAE contribution,Resize count,Roll count
ZT-0014,ZT,Government bonds,Short,1999-07-01,2000-08-01,Closed,11.0,14.0,3394117.113072279,283,397,10170.551999999985,835.7747269466685,1215.1609145057914,8119.616358547524,0.003329376436155349,0.0005783049685235308,0.0027510714676318173,0.00601768368599444,-0.0019222231244317308,11,4
FCE-0002,FCE,Equity indices,Long,1999-08-02,2000-06-01,Closed,2.0,5.0,3381781.9682385935,218,304,69821.87550000001,98.04832443902217,524.7309887924154,69199.09618676857,0.019674213331700163,0.00017271880501243153,0.019501494526687733,0.0195054326143954,-0.0011072006392225653,5,10
GAS-0011,GAS,Energy,Long,1999-08-02,2001-08-01,Closed,7.0,10.0,3381781.9682385935,522,730,133200.0,1198.9257196395768,6114.606965310801,125886.46731504962,0.03416616965897977,0.0018296475808413577,0.03233652207813844,0.035435199521892446,-4.79510367145313e-05,17,24
LE-0011,LE,Agriculture & livestock,Long,1999-08-02,2000-09-01,Closed,10.0,24.0,3381781.9682385935,284,396,-1040.0000000000964,933.7028104671017,2504.898654046474,-4478.601464513672,0.0009313261207211459,0.0009036127883388964,2.7713332382252788e-05,0.007969291166997372,-0.0009205975008798435,11,7
LLG-0021,LLG,Government bonds,Short,1999-08-02,2000-08-01,Closed,2.0,4.0,3381781.9682385935,261,365,11546.037999999986,211.09543627738447,359.4091319622074,10975.533431760394,0.0032799679699421834,0.00015379070610669883,0.0031261772638354847,0.009098139082054351,-0.0028509514757099064,6,4
NKD-0013,NKD,Equity indices,Long,1999-08-02,1999-09-01,Closed,1.0,1.0,3381781.9682385935,22,30,-225.0,50.0140349918143,0.0,-275.0140349918143,-7.821360672024912e-05,1.4774525295020238e-05,-9.298813201526916e-05,0.0008755615302233908,-0.0011562891044580386,0,0
SI-0017,SI,Metals,Long,1999-08-02,2000-02-01,Closed,6.0,9.0,3381781.9682385935,131,183,-3180.000000000007,558.515866697584,560.8482366067767,-4299.364103304368,-0.0012139841426988492,0.0003171000671384503,-0.0015310842098372984,0.00521877290975095,-0.0033914797355641237,5,2
YYT-0015,YYT,Government bonds,Long,1999-08-02,1999-09-01,Closed,13.0,13.0,3381781.9682385935,22,30,-2797.012400000104,458.2417166408559,0.0,-3255.25411664096,-0.0008417392769255277,0.000135394986254837,-0.0009771342631803648,0.0007244444373760752,-0.0014382381885925655,0,0
RS-0020,RS,Agriculture & livestock,Short,1999-08-03,2000-01-03,Closed,10.0,20.0,3325127.0810580575,109,153,4671.770999999996,206.4039040242885,198.36771112873507,4266.999384846972,0.0013594592673447667,0.0001177922143269618,0.0012416670530178049,0.001318094441585663,-0.0009774579763174092,4,2
6B-0029,6B,FX,Short,1999-09-01,2001-09-04,Closed,4.0,7.0,3388713.3956870018,524,734,68137.50000000001,354.997767634509,914.4758233245594,66868.02640904093,0.01678969510035322,0.00030482387315302424,0.016484871227200205,0.02021116914142822,-0.0064660975604316166,17,8
