Date,Symbol,Trade contracts,End contracts,Vendor roll label date,Executed roll,Physical contract turnover,Charged contract turnover
1990-10-01,YYT,9.0,6.0,False,False,9.0,9.0
1990-10-01,ZF,-2.0,-4.0,False,False,2.0,2.0
1990-10-01,ZN,-1.0,-2.0,False,False,1.0,1.0
1990-10-01,6C,1.0,2.0,False,False,1.0,1.0
1990-10-01,6S,1.0,1.0,False,False,1.0,1.0
1990-10-01,GC,2.0,1.0,False,False,2.0,2.0
1990-10-01,CT,1.0,2.0,False,False,1.0,1.0
1990-10-01,GF,2.0,4.0,False,False,2.0,2.0
1990-10-01,HE,1.0,2.0,False,False,1.0,1.0
1990-10-01,KE,-2.0,-3.0,False,False,2.0,2.0
1990-10-01,LE,2.0,4.0,False,False,2.0,2.0
1990-10-01,RS,-6.0,-14.0,False,False,6.0,6.0
1990-10-01,SB,-2.0,-3.0,False,False,2.0,2.0
1990-10-01,ZC,-7.0,-4.0,False,False,7.0,7.0
1990-10-01,ZL,3.0,5.0,False,False,3.0,3.0
1990-10-01,ZM,-2.0,-4.0,False,False,2.0,2.0
1990-10-01,ZS,-1.0,-2.0,False,False,1.0,1.0
1990-10-08,LE,0.0,4.0,True,True,8.0,8.0
1990-10-12,HE,0.0,2.0,True,True,4.0,4.0
1990-10-25,GF,0.0,4.0,True,True,8.0,8.0
1990-10-31,RS,0.0,-14.0,True,True,28.0,28.0
1990-10-31,ZS,0.0,-2.0,True,True,4.0,4.0
1990-11-01,YXT,-1.0,-2.0,False,False,1.0,1.0
1990-11-01,YYT,2.0,8.0,False,False,2.0,2.0
1990-11-01,ZF,-1.0,-5.0,False,False,1.0,1.0
1990-11-01,ZB,-1.0,-2.0,False,False,1.0,1.0
1990-11-01,6B,1.0,1.0,False,False,1.0,1.0
1990-11-01,GC,-3.0,-2.0,False,False,3.0,3.0
1990-11-01,CT,1.0,3.0,False,False,1.0,1.0
1990-11-01,KC,-2.0,-2.0,False,False,2.0,2.0
1990-11-01,KE,-1.0,-4.0,False,False,1.0,1.0
1990-11-01,RS,-9.0,-23.0,False,False,9.0,9.0
1990-11-01,SB,-1.0,-4.0,False,False,1.0,1.0
1990-11-01,ZC,-2.0,-6.0,False,False,2.0,2.0
1990-11-01,ZL,2.0,7.0,False,False,2.0,2.0
1990-11-15,GF,0.0,4.0,True,True,8.0,8.0
1990-11-20,CC,0.0,1.0,True,True,2.0,2.0
1990-11-26,CT,0.0,3.0,True,True,6.0,6.0
1990-11-26,KC,0.0,-2.0,True,True,4.0,4.0
1990-11-29,LLG,0.0,-1.0,True,True,2.0,2.0
1990-11-30,ZF,0.0,-5.0,True,True,10.0,10.0
1990-11-30,ZN,0.0,-2.0,True,True,4.0,4.0
1990-11-30,ZB,0.0,-2.0,True,True,4.0,4.0
1990-11-30,GC,0.0,-2.0,True,True,4.0,4.0
1990-11-30,SI,0.0,-1.0,True,True,2.0,2.0
1990-11-30,KE,0.0,-4.0,True,True,8.0,8.0
1990-11-30,ZC,0.0,-6.0,True,True,12.0,12.0
1990-11-30,ZL,0.0,7.0,True,True,14.0,14.0
1990-11-30,ZM,0.0,-4.0,True,True,8.0,8.0
1990-12-03,YAP,-2.0,-4.0,False,False,2.0,2.0
